PON: 1/2/4:10 | Nama: NA | MAC: fc:f2:9f:f4:42:08 | Data: 1/2/4:10,NA,fc:f2:9f:f4:42:08,Up,ZTE-F601,CIOT16F44208,NA,NA,NA,NA,NA,-18.543,6.527
PON: 1/2/4:11 | Nama: NA | MAC: 8c:8f:8b:bb:c7:ab | Data: 1/2/4:11,NA,8c:8f:8b:bb:c7:ab,Up,ZTE-F601,GGCL08BBC7AB,NA,NA,NA,NA,NA,-15.736,6.527
PON: 1/2/4:12 | Nama: NA | MAC: fc:8e:5b:63:90:10 | Data: 1/2/4:12,NA,fc:8e:5b:63:90:10,Up,ZTE-F601,CIOT15639010,NA,NA,NA,NA,NA,-15.687,6.527
PON: 1/2/4:13 | Nama: NA | MAC: fc:8e:5b:ca:72:50 | Data: 1/2/4:13,NA,fc:8e:5b:ca:72:50,Up,ZTE-F601,CIOT15CA7250,NA,NA,NA,NA,NA,-19.173,6.527
PON: 1/2/5:1 | Nama: NA | MAC: 14:ad:ca:e0:56:90 | Data: 1/2/5:1,NA,14:ad:ca:e0:56:90,Up,ZTE-F601,CIOT12E05690,NA,NA,NA,NA,NA,-17.113,6.377
PON: 1/2/6:1 | Nama: NA | MAC: NA | Data: 1/2/6:1,NA,NA,Down,ZTE-F601,CIOT090D9370,NA,NA,NA,NA,NA,0,6.437
PON: 1/2/6:2 | Nama: NA | MAC: NA | Data: 1/2/6:2,NA,NA,Down,ZTE-F601,ZTEGCBB29906,NA,NA,NA,NA,NA,0,6.437
PON: 1/2/6:3 | Nama: NA | MAC: NA | Data: 1/2/6:3,NA,NA,Down,ZTE-F601,ZTEGC98AFF50,NA,NA,NA,NA,NA,0,6.437
PON: 1/2/6:4 | Nama: NA | MAC: d4:7e:e4:bd:c3:78 | Data: 1/2/6:4,NA,d4:7e:e4:bd:c3:78,Up,ZTE-F601,CIOT21BDC378,NA,NA,NA,NA,NA,-15.261,6.398
PON: 1/2/7:1 | Nama: NA | MAC: 80:b0:7b:20:94:c0 | Data: 1/2/7:1,NA,80:b0:7b:20:94:c0,Up,ZTE-F609,ZTEGCB5C8942,NA,NA,NA,NA,NA,-15.506,6.434
PON: 1/2/7:2 | Nama: NA | MAC: NA | Data: 1/2/7:2,NA,NA,Down,ZTE-F609,CIOT17EFB9B0,NA,NA,NA,NA,NA,0,6.434
PON: 1/2/8:1 | Nama: NA | MAC: 94:bf:80:06:e0:38 | Data: 1/2/8:1,NA,94:bf:80:06:e0:38,Up,ZTE-F609,ZTEGCB9C9098,NA,NA,NA,NA,NA,-17.436,6.353
PON: 1/2/8:2 | Nama: NA | MAC: 1c:27:04:89:df:38 | Data: 1/2/8:2,NA,1c:27:04:89:df:38,Up,ZTE-F609,ZTEGCA7C2ABA,NA,NA,NA,NA,NA,-16.303,6.353
PON: 1/2/8:3 | Nama: NA | MAC: d4:76:ea:1a:7f:cb | Data: 1/2/8:3,NA,d4:76:ea:1a:7f:cb,Up,ZTE-F601,ZTEGCA9C273E,NA,NA,NA,NA,NA,-16.601,6.353
PON: 1/2/8:4 | Nama: NA | MAC: fc:f2:9f:f4:24:e8 | Data: 1/2/8:4,NA,fc:f2:9f:f4:24:e8,Up,ZTE-F601,CIOT16F424E8,NA,NA,NA,NA,NA,-22.139,6.353
PON: 1/2/8:128 | Nama: NA | MAC: 1c:78:4e:27:c6:38 | Data: 1/2/8:128,NA,1c:78:4e:27:c6:38,Up,ZTE-F601,CIOT1427C638,NA,NA,NA,NA,NA,-18.637,6.353
PON: 1/2/9:1 | Nama: NA | MAC: NA | Data: 1/2/9:1,NA,NA,Down,ZTE-F601,CIOT09FC02F8,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:2 | Nama: NA | MAC: 1c:78:4e:33:d3:99 | Data: 1/2/9:2,NA,1c:78:4e:33:d3:99,Up,ZTE-F601,CIOT1433D398,NA,NA,NA,NA,NA,-25.451,6.399
PON: 1/2/9:4 | Nama: NA | MAC: NA | Data: 1/2/9:4,NA,NA,Down,ZTE-F601,CIOT05FE8C22,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:5 | Nama: NA | MAC: NA | Data: 1/2/9:5,NA,NA,Down,ZTE-F601,CIOT11321FF8,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:8 | Nama: NA | MAC: 68:8b:0f:d3:ab:51 | Data: 1/2/9:8,NA,68:8b:0f:d3:ab:51,Up,ZTE-F601,CIOT10D3AB50,NA,NA,NA,NA,NA,-24.874,6.399
PON: 1/2/9:9 | Nama: NA | MAC: NA | Data: 1/2/9:9,NA,NA,Down,ZTE-F601,CIOT09371F10,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:10 | Nama: NA | MAC: NA | Data: 1/2/9:10,NA,NA,Down,ZTE-F601,CIOT13B6F350,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:11 | Nama: NA | MAC: NA | Data: 1/2/9:11,NA,NA,Down,ZTE-F601,ZTEGCB993EA6,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:12 | Nama: NA | MAC: e4:ca:12:e7:8a:f1 | Data: 1/2/9:12,NA,e4:ca:12:e7:8a:f1,Up,ZTE-F601,ZTEGC864A9F8,NA,NA,NA,NA,NA,-27.328,6.399
PON: 1/2/9:14 | Nama: NA | MAC: NA | Data: 1/2/9:14,NA,NA,Down,ZTE-F601,CIOT14392120,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:17 | Nama: NA | MAC: NA | Data: 1/2/9:17,NA,NA,Down,ZTE-F601,ZTEGCB522E36,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:18 | Nama: NA | MAC: NA | Data: 1/2/9:18,NA,NA,Down,ZTE-F601,ZTEGCC02244D,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:19 | Nama: NA | MAC: NA | Data: 1/2/9:19,NA,NA,Down,ZTE-F601,ZTEGCBB65FA6,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:20 | Nama: NA | MAC: NA | Data: 1/2/9:20,NA,NA,Down,ZTE-F601,GGCL0533792E,NA,NA,NA,NA,NA,0,6.399
PON: 1/2/9:21 | Nama: NA | MAC: NA | Data: 1/2/9:21,NA,NA,Down,ZTE-F601,CIOT17220288,NA,NA,NA,NA,NA,0,6.399
